Complex,Complex name,Complex short name,Subunit,Protein name,Protein,Evidence level,Citation,Comment
Alba,Alba,Alba,PF3D7_0814200,Alba 1,Alba1,NA,,
Alba,Alba,Alba,PF3D7_1346300,Alba 2,Alba2,NA,,
Alba,Alba,Alba,PF3D7_1006200,Alba 3,Alba3,NA,,
Alba,Alba,Alba,PF3D7_1347500,Alba 4,Alba4,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1441200,"60S ribosomal protein L1, putative",Rpl1,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1027800,60S ribosomal protein L3,Rpl3,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0507100,60S ribosomal protein L4,Rpl4,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1424100,"60S ribosomal protein L5, putative",Rpl5,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1323100,"60S ribosomal protein L6, putative",Rpl6,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1338200,"60S ribosomal protein L6, putative",Rpl6,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0307200,"60S ribosomal protein L7, putative",Rpl7,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1424400,"60S ribosomal protein L7-3, putative",Rpl7-3,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1354600,"60S ribosomal protein L7, putative",Rpl7,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0419800,"60S ribosomal protein L7ae/L30e, putative",Rpl7/L30e,NA,,
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0516900,60S ribosomal protein L2,Rpl2,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_1414300,"60S ribosomal protein L10, putative",Rpl10,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0719600,"60S ribosomal protein L11a, putative",Rpl11a,cryoEM,"Wong et al (2014), Sun et al (2015), Wong et al (2017) ",
ribosome_60S,60S ribosome,60S ribosome,PF3D7_0517000,"60S ribosomal protein L12, putative",Rpl12,NA,,
