protein1,protein2,pred
PF3D7_0620100,PF3D7_0205100,0.968287875267165
PF3D7_0620100,PF3D7_1306900,0.622254392639129
PF3D7_0620100,PF3D7_0720900,0.512178083410351
PF3D7_0620100,PF3D7_1108900,0.433369004451389
PF3D7_0620100,PF3D7_1450100,0.274542283644667
PF3D7_0205100,PF3D7_1306900,0.80536364876606
PF3D7_0205100,PF3D7_0720900,0.52330697190006
PF3D7_0205100,PF3D7_1108900,0.312233285057251
PF3D7_0205100,PF3D7_1450100,0.349787703682102
PF3D7_0205100,PF3D7_0930600,0.476455304279647
PF3D7_0205100,PF3D7_1121900,0.266483552404023
PF3D7_1306900,PF3D7_0720900,0.833068056738233
PF3D7_1306900,PF3D7_0930600,0.65057073514793
PF3D7_0306800,PF3D7_0608700,0.966429862470845
PF3D7_0306800,PF3D7_1229500,0.950974929358748
PF3D7_0306800,PF3D7_0214000,0.939931630702872
PF3D7_0306800,PF3D7_1357800,0.892621322972457
PF3D7_0306800,PF3D7_1132200,0.859922170039846
PF3D7_0306800,PF3D7_0308200,0.81975101825069
PF3D7_0306800,PF3D7_0320300,0.797881567004523
PF3D7_0306800,PF3D7_0110700,0.581549873920704
PF3D7_0306800,PF3D7_1451100,0.525546322159628
PF3D7_0306800,PF3D7_0934800,0.496620001522415
PF3D7_0608700,PF3D7_1229500,0.918328911640729
PF3D7_0608700,PF3D7_0214000,0.815866878108366
PF3D7_0608700,PF3D7_1357800,0.917377381787747
PF3D7_0608700,PF3D7_1132200,0.810813410210664
PF3D7_0608700,PF3D7_0308200,0.802851260862475
PF3D7_0608700,PF3D7_0320300,0.693132082872524
PF3D7_0608700,PF3D7_0110700,0.560429958399478
PF3D7_0608700,PF3D7_1451100,0.499661661726133
PF3D7_0608700,PF3D7_0934800,0.519534391272801
PF3D7_1229500,PF3D7_0214000,0.943597064540403
PF3D7_1229500,PF3D7_1357800,0.941701111568667
PF3D7_1229500,PF3D7_1132200,0.941473246656866
PF3D7_1229500,PF3D7_0308200,0.781028756885666
PF3D7_1229500,PF3D7_0320300,0.89125173735398
PF3D7_1229500,PF3D7_0110700,0.42825127593711
PF3D7_1229500,PF3D7_1451100,0.584210458073013
PF3D7_1229500,PF3D7_0934800,0.568856139256769
PF3D7_0214000,PF3D7_1357800,0.881989880440997
PF3D7_0214000,PF3D7_1132200,0.93249700332416
PF3D7_0214000,PF3D7_0308200,0.817515333358731
PF3D7_0214000,PF3D7_0320300,0.925942665139174
PF3D7_0214000,PF3D7_0110700,0.505717773480693
PF3D7_0214000,PF3D7_1451100,0.551498737676622
PF3D7_0214000,PF3D7_0934800,0.536290782665982
PF3D7_1357800,PF3D7_1132200,0.949217522634473
PF3D7_1357800,PF3D7_0308200,0.832593679475386
PF3D7_1357800,PF3D7_0320300,0.767669653469475
PF3D7_1357800,PF3D7_0110700,0.505614718345412
PF3D7_1357800,PF3D7_1451100,0.607803033253342
PF3D7_1357800,PF3D7_0934800,0.498737831698395
PF3D7_1132200,PF3D7_0308200,0.761477690300551
PF3D7_1132200,PF3D7_0320300,0.896481119476051
PF3D7_1132200,PF3D7_0110700,0.49995145134025
PF3D7_1132200,PF3D7_1451100,0.667540322745523
PF3D7_1132200,PF3D7_0934800,0.577145519622774
PF3D7_0308200,PF3D7_0320300,0.858313305450574
PF3D7_0308200,PF3D7_0110700,0.512744205338755
PF3D7_0308200,PF3D7_0934800,0.56822935558189
PF3D7_0320300,PF3D7_0110700,0.537454840910453
PF3D7_0320300,PF3D7_1451100,0.483324673684468
