protein1,protein2,pred
PF3D7_0721600,PF3D7_0307200,1.03703513181669
PF3D7_0721600,PF3D7_0821700,1.02420422460746
PF3D7_0721600,PF3D7_0503800,1.01677125284715
PF3D7_0721600,PF3D7_0507100,1.01247100230569
PF3D7_0721600,PF3D7_1421200,1.008921344053
PF3D7_0721600,PF3D7_1004000,1.00870673009017
PF3D7_0721600,PF3D7_1460700,1.00713585325957
PF3D7_0721600,PF3D7_1323400,1.00621281862805
PF3D7_0721600,PF3D7_0520000,1.0058394142082
PF3D7_0721600,PF3D7_1142600,1.00471439209319
PF3D7_0721600,PF3D7_0618300,1.00228618887066
PF3D7_0721600,PF3D7_1027800,0.996507426653655
PF3D7_0721600,PF3D7_1342000,0.995313711396098
PF3D7_0721600,PF3D7_1323100,0.995018391099376
PF3D7_0721600,PF3D7_1341300,0.707475955510439
PF3D7_0721600,PF3D7_0322900,0.994083507364887
PF3D7_0721600,PF3D7_1414300,0.960109289253809
PF3D7_0721600,PF3D7_1447000,0.993175682286072
PF3D7_0721600,PF3D7_0415900,0.991811048422311
PF3D7_0721600,PF3D7_1124900,0.989221762745894
PF3D7_0721600,PF3D7_1309100,0.988452935909371
PF3D7_0721600,PF3D7_1431700,0.988154684620169
PF3D7_0721600,PF3D7_0306900,0.986331807889279
PF3D7_0721600,PF3D7_1424400,0.98575762505104
PF3D7_0721600,PF3D7_1130100,0.985585378235817
PF3D7_0721600,PF3D7_1465900,0.979702541478422
PF3D7_0721600,PF3D7_0710600,0.976092366792668
PF3D7_0721600,PF3D7_0614500,0.975831046656261
PF3D7_0721600,PF3D7_1105400,0.975442997858397
PF3D7_0721600,PF3D7_0517000,0.974974371360621
PF3D7_0721600,PF3D7_1302800,0.972905037756886
PF3D7_0721600,PF3D7_0813900,0.963463935707979
PF3D7_0721600,PF3D7_1341200,0.934135465120958
PF3D7_0721600,PF3D7_0719700,0.947839195890069
PF3D7_0721600,PF3D7_0312800,0.943518272811245
PF3D7_0721600,PF3D7_0516900,0.941116120810911
PF3D7_0721600,PF3D7_1003500,0.935682397755121
PF3D7_0721600,PF3D7_1358800,0.919002338535245
PF3D7_0721600,PF3D7_1426000,0.814916445106126
PF3D7_0721600,PF3D7_0422400,0.92663321409195
PF3D7_0721600,PF3D7_0814000,0.853390763343004
PF3D7_0721600,PF3D7_1126200,0.908665473687468
PF3D7_0721600,PF3D7_1424100,0.874884706591546
PF3D7_0721600,PF3D7_1331800,0.857664019855442
PF3D7_0721600,PF3D7_0706400,0.801043336420715
PF3D7_0307200,PF3D7_0821700,0.950515936115504
PF3D7_0307200,PF3D7_0503800,0.642932112016874
PF3D7_0307200,PF3D7_0507100,0.690385929644417
PF3D7_0307200,PF3D7_1421200,0.576674662851626
PF3D7_0307200,PF3D7_1004000,0.858675291688165
PF3D7_0307200,PF3D7_1460700,0.543136686597562
PF3D7_0307200,PF3D7_1323400,0.865367757457851
PF3D7_0307200,PF3D7_0520000,0.510509921076702
PF3D7_0307200,PF3D7_1142600,0.671115146741055
PF3D7_0307200,PF3D7_0618300,0.64829749991909
PF3D7_0307200,PF3D7_1027800,0.675222108561654
PF3D7_0307200,PF3D7_1342000,0.885220445406971
PF3D7_0307200,PF3D7_1323100,0.960680831077712
PF3D7_0307200,PF3D7_1341300,0.994235767118627
PF3D7_0307200,PF3D7_0322900,0.620710236297986
PF3D7_0307200,PF3D7_1414300,0.993555980908388
PF3D7_0307200,PF3D7_1447000,0.863274840926836
PF3D7_0307200,PF3D7_0415900,0.77271668290095
PF3D7_0307200,PF3D7_1124900,0.836759069495693
PF3D7_0307200,PF3D7_1309100,0.586241427115508
PF3D7_0307200,PF3D7_1431700,0.750924655345886
PF3D7_0307200,PF3D7_0306900,0.976119430740735
PF3D7_0307200,PF3D7_1424400,0.88851869676829
PF3D7_0307200,PF3D7_1130100,0.589842570443934
PF3D7_0307200,PF3D7_1465900,0.743017103785801
PF3D7_0307200,PF3D7_0710600,0.679935005514712
PF3D7_0307200,PF3D7_0614500,0.639343343607952
