"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Razor Peptides"	"Abundance Ratio: (127N) / (126)"	"Abundance Ratio: (127C) / (126)"	"Abundance Ratio: (128N) / (126)"	"Abundance Ratio: (128C) / (126)"	"Abundance Ratio: (129N) / (126)"	"Abundance Ratio: (129C) / (126)"	"Abundance Ratio: (130N) / (126)"	"Abundance Ratio: (130C) / (126)"	"Abundance Ratio: (131) / (126)"	"Abundances (Grouped): 126"	"Abundances (Grouped): 127N"	"Abundances (Grouped): 127C"	"Abundances (Grouped): 128N"	"Abundances (Grouped): 128C"	"Abundances (Grouped): 129N"	"Abundances (Grouped): 129C"	"Abundances (Grouped): 130N"	"Abundances (Grouped): 130C"	"Abundances (Grouped): 131"	"Abundances (Grouped) CV [%]: 126"	"Abundances (Grouped) CV [%]: 127N"	"Abundances (Grouped) CV [%]: 127C"	"Abundances (Grouped) CV [%]: 128N"	"Abundances (Grouped) CV [%]: 128C"	"Abundances (Grouped) CV [%]: 129N"	"Abundances (Grouped) CV [%]: 129C"	"Abundances (Grouped) CV [%]: 130N"	"Abundances (Grouped) CV [%]: 130C"	"Abundances (Grouped) CV [%]: 131"	"Found in Sample: [S1] F1: 126, Sample"	"Found in Sample: [S2] F1: 127N, Sample"	"Found in Sample: [S3] F1: 127C, Sample"	"Found in Sample: [S4] F1: 128N, Sample"	"Found in Sample: [S5] F1: 128C, Sample"	"Found in Sample: [S6] F1: 129N, Sample"	"Found in Sample: [S7] F1: 129C, Sample"	"Found in Sample: [S8] F1: 130N, Sample"	"Found in Sample: [S9] F1: 130C, Sample"	"Found in Sample: [S10] F1: 131, Sample"	"# Protein Groups"	"Modifications"
"8762874871911660175"	"False"	"High"	"IsMasterProtein"	"PF3D7_1149000.1-p1"	"transcript=PF3D7_1149000.1 | gene=PF3D7_1149000 | organism=Plasmodium_falciparum_3D7 | gene_product=antigen 332, DBL-like protein | transcript_product=antigen 332, DBL-like protein | location=Pf3D7_11_v3:1950210-1968726(+) | protein_length=6093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"571.913"	"27"	"122"	"146"	"121"	"6093"	"688.9"	"3.89"	"526.91"	"122"	"1"	"1.319"	"1.357"	"1.106"	"1.481"	"0.787"	"0.541"	"0.463"	"0.311"	"0.204"	"41300.9"	"54473.4"	"56053.0"	"45695.6"	"61181.3"	"32485.8"	"22335.9"	"19118.0"	"12852.1"	"8419.5"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4928612786058993434"	"False"	"High"	"IsMasterProtein"	"PF3D7_1015900.1-p1"	"transcript=PF3D7_1015900.1 | gene=PF3D7_1015900 | organism=Plasmodium_falciparum_3D7 | gene_product=enolase | transcript_product=enolase | location=Pf3D7_10_v3:637138-639011(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"512.486"	"74"	"30"	"314"	"26"	"446"	"48.6"	"6.60"	"1126.37"	"30"	"4"	"1.316"	"1.399"	"1.213"	"1.388"	"1.202"	"1.192"	"0.407"	"0.225"	"0.115"	"91022.5"	"119770.4"	"127375.3"	"110374.5"	"126332.8"	"109447.4"	"108540.8"	"37028.0"	"20519.9"	"10454.8"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3783908223942957305"	"False"	"High"	"IsMasterProtein"	"PF3D7_1311800.1-p1"	"transcript=PF3D7_1311800.1 | gene=PF3D7_1311800 | organism=Plasmodium_falciparum_3D7 | gene_product=M1-family alanyl aminopeptidase | transcript_product=M1-family alanyl aminopeptidase | location=Pf3D7_13_v3:501790-505047(+) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"444.702"	"50"	"52"	"191"	"52"	"1085"	"126.0"	"7.56"	"651.90"	"52"	"0"	"1.332"	"1.392"	"1.191"	"1.193"	"0.652"	"0.271"	"0.208"	"0.148"	"0.101"	"66250.5"	"88270.7"	"92236.7"	"78891.0"	"79005.3"	"43171.2"	"17954.4"	"13762.9"	"9797.5"	"6692.3"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6105877340826101205"	"False"	"High"	"IsMasterProtein"	"PF3D7_0626800.1-p1"	"transcript=PF3D7_0626800.1 | gene=PF3D7_0626800 | organism=Plasmodium_falciparum_3D7 | gene_product=pyruvate kinase | transcript_product=pyruvate kinase | location=Pf3D7_06_v3:1078995-1081320(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"389.245"	"61"	"26"	"205"	"26"	"511"	"55.6"	"7.55"	"658.55"	"26"	"0"	"1.310"	"1.388"	"1.184"	"1.337"	"1.100"	"1.071"	"0.429"	"0.229"	"0.122"	"59174.4"	"77502.9"	"82107.5"	"70086.6"	"79118.2"	"65062.4"	"63362.0"	"25368.8"	"13533.7"	"7210.0"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"9099762193104312204"	"False"	"High"	"IsMasterProtein"	"PF3D7_1462800.1-p1"	"transcript=PF3D7_1462800.1 | gene=PF3D7_1462800 | organism=Plasmodium_falciparum_3D7 | gene_product=glyceraldehyde-3-phosphate dehydrogenase | transcript_product=glyceraldehyde-3-phosphate dehydrogenase | location=Pf3D7_14_v3:2559098-2560347(+) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"386.506"	"79"	"22"	"322"	"21"	"337"	"36.6"	"7.69"	"1060.15"	"22"	"2"	"1.283"	"1.414"	"1.219"	"1.393"	"1.142"	"0.858"	"0.281"	"0.195"	"0.113"	"86054.2"	"110439.0"	"121642.4"	"104865.7"	"119848.5"	"98245.0"	"73809.5"	"24187.4"	"16812.7"	"9742.5"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4777132236614452456"	"False"	"High"	"IsMasterProtein"	"PF3D7_0207600.1-p1"	"transcript=PF3D7_0207600.1 | gene=PF3D7_0207600 | organism=Plasmodium_falciparum_3D7 | gene_product=serine repeat antigen 5 | transcript_product=serine repeat antigen 5 | location=Pf3D7_02_v3:303593-307027(-) | protein_length=997 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"375.180"	"52"	"45"	"145"	"43"	"997"	"111.7"	"5.41"	"503.61"	"45"	"2"	"1.343"	"1.433"	"1.206"	"1.118"	"0.385"	"0.245"	"0.174"	"0.123"	"0.084"	"52207.4"	"70106.0"	"74835.1"	"62945.0"	"58360.3"	"20117.9"	"12768.9"	"9100.8"	"6431.8"	"4382.3"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"900378609323089650"	"False"	"High"	"IsMasterProtein"	"PF3D7_0708400.1-p1"	"transcript=PF3D7_0708400.1 | gene=PF3D7_0708400 | organism=Plasmodium_falciparum_3D7 | gene_product=heat shock protein 90 | transcript_product=heat shock protein 90 | location=Pf3D7_07_v3:381592-384614(+) | protein_length=745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"368.029"	"55"	"38"	"179"	"34"	"745"	"86.1"	"5.01"	"610.90"	"38"	"7"	"1.320"	"0.762"	"0.191"	"0.130"	"0.089"	"0.095"	"0.088"	"0.063"	"0.043"	"118675.0"	"156700.2"	"90408.4"	"22689.2"	"15419.8"	"10560.3"	"11245.2"	"10445.5"	"7500.7"	"5088.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-5498651146880750489"	"False"	"High"	"IsMasterProtein"	"PF3D7_0730900.1-p1"	"transcript=PF3D7_0730900.1 | gene=PF3D7_0730900 | organism=Plasmodium_falciparum_3D7 | gene_product=EMP1-trafficking protein | transcript_product=EMP1-trafficking protein | location=Pf3D7_07_v3:1325375-1331813(+) | protein_length=2110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"345.022"	"54"	"64"	"164"	"64"	"2110"	"244.0"	"6.95"	"497.40"	"64"	"0"	"1.360"	"1.349"	"1.099"	"0.976"	"0.723"	"0.532"	"0.439"	"0.331"	"0.273"	"48285.0"	"65653.7"	"65158.6"	"53070.4"	"47122.1"	"34923.6"	"25678.7"	"21218.4"	"15982.1"	"13171.8"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6468382682587716960"	"False"	"High"	"IsMasterProtein"	"PF3D7_1222300.1-p1"	"transcript=PF3D7_1222300.1 | gene=PF3D7_1222300 | organism=Plasmodium_falciparum_3D7 | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=Pf3D7_12_v3:883567-886032(-) | protein_length=821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"326.575"	"53"	"38"	"101"	"37"	"821"	"95.0"	"5.41"	"368.72"	"38"	"2"	"1.358"	"1.191"	"0.852"	"0.177"	"0.142"	"0.123"	"0.120"	"0.092"	"0.071"	"57609.4"	"78233.4"	"68605.0"	"49055.0"	"10208.3"	"8181.2"	"7088.3"	"6921.7"	"5312.6"	"4103.7"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6301432758226619021"	"False"	"High"	"IsMasterProtein"	"PF3D7_0500800.1-p1"	"transcript=PF3D7_0500800.1 | gene=PF3D7_0500800 | organism=Plasmodium_falciparum_3D7 | gene_product=mature parasite-infected erythrocyte surface antigen | transcript_product=mature parasite-infected erythrocyte surface antigen | location=Pf3D7_05_v3:43327-47761(-) | protein_length=1434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"324.907"	"45"	"49"	"143"	"48"	"1434"	"168.2"	"4.78"	"439.88"	"49"	"1"	"1.320"	"1.243"	"0.987"	"0.856"	"0.611"	"0.444"	"0.495"	"0.515"	"0.582"	"40414.2"	"53354.0"	"50233.1"	"39903.9"	"34612.1"	"24675.4"	"17950.1"	"19989.7"	"20798.4"	"23512.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
