"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Razor Peptides"	"Abundance Ratio: (127N) / (126)"	"Abundance Ratio: (127C) / (126)"	"Abundance Ratio: (128N) / (126)"	"Abundance Ratio: (128C) / (126)"	"Abundance Ratio: (129N) / (126)"	"Abundance Ratio: (129C) / (126)"	"Abundance Ratio: (130N) / (126)"	"Abundance Ratio: (130C) / (126)"	"Abundance Ratio: (131) / (126)"	"Abundances (Grouped): 126"	"Abundances (Grouped): 127N"	"Abundances (Grouped): 127C"	"Abundances (Grouped): 128N"	"Abundances (Grouped): 128C"	"Abundances (Grouped): 129N"	"Abundances (Grouped): 129C"	"Abundances (Grouped): 130N"	"Abundances (Grouped): 130C"	"Abundances (Grouped): 131"	"Abundances (Grouped) CV [%]: 126"	"Abundances (Grouped) CV [%]: 127N"	"Abundances (Grouped) CV [%]: 127C"	"Abundances (Grouped) CV [%]: 128N"	"Abundances (Grouped) CV [%]: 128C"	"Abundances (Grouped) CV [%]: 129N"	"Abundances (Grouped) CV [%]: 129C"	"Abundances (Grouped) CV [%]: 130N"	"Abundances (Grouped) CV [%]: 130C"	"Abundances (Grouped) CV [%]: 131"	"Found in Sample: [S22] F22: 126, Sample"	"Found in Sample: [S23] F22: 127N, Sample"	"Found in Sample: [S24] F22: 127C, Sample"	"Found in Sample: [S25] F22: 128N, Sample"	"Found in Sample: [S26] F22: 128C, Sample"	"Found in Sample: [S27] F22: 129N, Sample"	"Found in Sample: [S28] F22: 129C, Sample"	"Found in Sample: [S29] F22: 130N, Sample"	"Found in Sample: [S30] F22: 130C, Sample"	"Found in Sample: [S31] F22: 131, Sample"	"# Protein Groups"	"Modifications"
"8762874871911660175"	"False"	"High"	"IsMasterProtein"	"PF3D7_1149000.1-p1"	"transcript=PF3D7_1149000.1 | gene=PF3D7_1149000 | organism=Plasmodium_falciparum_3D7 | gene_product=antigen 332, DBL-like protein | transcript_product=antigen 332, DBL-like protein | location=Pf3D7_11_v3:1950210-1968726(+) | protein_length=6093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"733.410"	"28"	"129"	"169"	"129"	"6093"	"688.9"	"3.89"	"701.14"	"129"	"0"	"0.874"	"0.895"	"0.846"	"0.671"	"0.433"	"0.274"	"0.231"	"0.174"	"0.140"	"79136.9"	"69204.0"	"70828.0"	"66922.1"	"53102.8"	"34305.2"	"21683.1"	"18298.1"	"13743.8"	"11081.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3783908223942957305"	"False"	"High"	"IsMasterProtein"	"PF3D7_1311800.1-p1"	"transcript=PF3D7_1311800.1 | gene=PF3D7_1311800 | organism=Plasmodium_falciparum_3D7 | gene_product=M1-family alanyl aminopeptidase | transcript_product=M1-family alanyl aminopeptidase | location=Pf3D7_13_v3:501790-505047(+) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"606.732"	"55"	"56"	"252"	"55"	"1085"	"126.0"	"7.56"	"869.44"	"56"	"1"	"0.911"	"0.991"	"1.010"	"0.878"	"0.596"	"0.255"	"0.168"	"0.111"	"0.066"	"99794.0"	"90932.8"	"98885.7"	"100841.3"	"87613.0"	"59472.4"	"25417.2"	"16726.3"	"11089.0"	"6619.9"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4928612786058993434"	"False"	"High"	"IsMasterProtein"	"PF3D7_1015900.1-p1"	"transcript=PF3D7_1015900.1 | gene=PF3D7_1015900 | organism=Plasmodium_falciparum_3D7 | gene_product=enolase | transcript_product=enolase | location=Pf3D7_10_v3:637138-639011(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"529.035"	"70"	"30"	"307"	"26"	"446"	"48.6"	"6.60"	"1180.25"	"30"	"4"	"0.868"	"0.978"	"0.991"	"0.969"	"0.914"	"0.795"	"0.436"	"0.172"	"0.100"	"113356.8"	"98445.7"	"110835.9"	"112325.0"	"109836.3"	"103630.4"	"90120.4"	"49379.3"	"19472.1"	"11344.2"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"9099762193104312204"	"False"	"High"	"IsMasterProtein"	"PF3D7_1462800.1-p1"	"transcript=PF3D7_1462800.1 | gene=PF3D7_1462800 | organism=Plasmodium_falciparum_3D7 | gene_product=glyceraldehyde-3-phosphate dehydrogenase | transcript_product=glyceraldehyde-3-phosphate dehydrogenase | location=Pf3D7_14_v3:2559098-2560347(+) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"488.937"	"88"	"26"	"278"	"25"	"337"	"36.6"	"7.69"	"1081.20"	"26"	"2"	"0.879"	"1.005"	"1.017"	"0.973"	"0.914"	"0.673"	"0.240"	"0.162"	"0.098"	"102115.0"	"89716.3"	"102671.1"	"103801.2"	"99344.6"	"93338.1"	"68755.6"	"24557.1"	"16568.5"	"9987.2"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"900378609323089650"	"False"	"High"	"IsMasterProtein"	"PF3D7_0708400.1-p1"	"transcript=PF3D7_0708400.1 | gene=PF3D7_0708400 | organism=Plasmodium_falciparum_3D7 | gene_product=heat shock protein 90 | transcript_product=heat shock protein 90 | location=Pf3D7_07_v3:381592-384614(+) | protein_length=745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"421.609"	"53"	"40"	"185"	"36"	"745"	"86.1"	"5.01"	"650.03"	"40"	"7"	"0.664"	"0.526"	"0.154"	"0.127"	"0.106"	"0.087"	"0.083"	"0.054"	"0.035"	"162553.0"	"108014.8"	"85423.2"	"24954.2"	"20708.5"	"17289.5"	"14093.6"	"13560.0"	"8764.0"	"5660.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6105877340826101205"	"False"	"High"	"IsMasterProtein"	"PF3D7_0626800.1-p1"	"transcript=PF3D7_0626800.1 | gene=PF3D7_0626800 | organism=Plasmodium_falciparum_3D7 | gene_product=pyruvate kinase | transcript_product=pyruvate kinase | location=Pf3D7_06_v3:1078995-1081320(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"403.528"	"59"	"27"	"206"	"26"	"511"	"55.6"	"7.55"	"689.75"	"27"	"1"	"0.833"	"0.950"	"0.927"	"0.848"	"0.794"	"0.611"	"0.344"	"0.169"	"0.089"	"70179.0"	"58455.8"	"66650.4"	"65027.3"	"59492.4"	"55744.9"	"42902.2"	"24122.4"	"11893.4"	"6223.1"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-5298998008602675123"	"False"	"High"	"IsMasterProtein"	"PF3D7_0708800.1-p1"	"transcript=PF3D7_0708800.1 | gene=PF3D7_0708800 | organism=Plasmodium_falciparum_3D7 | gene_product=heat shock protein 110 | transcript_product=heat shock protein 110 | location=Pf3D7_07_v3:395711-398332(+) | protein_length=873 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"387.980"	"52"	"40"	"163"	"40"	"873"	"99.9"	"5.69"	"570.52"	"40"	"0"	"0.846"	"0.888"	"0.822"	"0.250"	"0.156"	"0.118"	"0.115"	"0.083"	"0.055"	"81630.4"	"69074.3"	"72521.1"	"67076.0"	"20412.6"	"12764.9"	"9647.3"	"9355.7"	"6813.7"	"4526.2"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-48075909577931497"	"False"	"High"	"IsMasterProtein"	"PF3D7_0818900.1-p1"	"transcript=PF3D7_0818900.1 | gene=PF3D7_0818900 | organism=Plasmodium_falciparum_3D7 | gene_product=heat shock protein 70 | transcript_product=heat shock protein 70 | location=Pf3D7_08_v3:860384-862417(+) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"385.730"	"47"	"32"	"257"	"23"	"677"	"73.9"	"5.67"	"832.77"	"32"	"20"	"0.828"	"0.862"	"0.760"	"0.555"	"0.324"	"0.240"	"0.206"	"0.144"	"0.091"	"121310.4"	"100390.9"	"104575.6"	"92226.2"	"67387.0"	"39284.9"	"29060.8"	"24972.6"	"17459.6"	"11063.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2922454221119471925"	"False"	"High"	"IsMasterProtein"	"PF3D7_1451100.1-p1"	"transcript=PF3D7_1451100.1 | gene=PF3D7_1451100 | organism=Plasmodium_falciparum_3D7 | gene_product=elongation factor 2 | transcript_product=elongation factor 2 | location=Pf3D7_14_v3:2090902-2093400(+) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"360.993"	"47"	"36"	"186"	"34"	"832"	"93.5"	"6.80"	"613.95"	"36"	"6"	"0.864"	"0.957"	"0.931"	"0.763"	"0.332"	"0.141"	"0.137"	"0.095"	"0.060"	"85738.1"	"74066.4"	"82084.2"	"79797.9"	"65440.7"	"28497.9"	"12096.6"	"11764.8"	"8171.9"	"5171.8"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3851945919700585246"	"False"	"High"	"IsMasterProtein"	"PF3D7_0922500.1-p1"	"transcript=PF3D7_0922500.1 | gene=PF3D7_0922500 | organism=Plasmodium_falciparum_3D7 | gene_product=phosphoglycerate kinase | transcript_product=phosphoglycerate kinase | location=Pf3D7_09_v3:913230-914480(+) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"359.076"	"77"	"28"	"159"	"28"	"416"	"45.4"	"7.83"	"569.22"	"28"	"0"	"0.892"	"0.926"	"0.716"	"0.137"	"0.140"	"0.093"	"0.104"	"0.081"	"0.048"	"102621.5"	"91527.2"	"95012.7"	"73528.2"	"14064.0"	"14359.1"	"9531.1"	"10652.5"	"8280.9"	"4884.1"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-5498651146880750489"	"False"	"High"	"IsMasterProtein"	"PF3D7_0730900.1-p1"	"transcript=PF3D7_0730900.1 | gene=PF3D7_0730900 | organism=Plasmodium_falciparum_3D7 | gene_product=EMP1-trafficking protein | transcript_product=EMP1-trafficking protein | location=Pf3D7_07_v3:1325375-1331813(+) | protein_length=2110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"327.032"	"50"	"60"	"146"	"60"	"2110"	"244.0"	"6.95"	"413.33"	"60"	"0"	"0.835"	"0.935"	"0.889"	"0.692"	"0.687"	"0.598"	"0.434"	"0.312"	"0.276"	"45541.0"	"38037.3"	"42563.2"	"40499.6"	"31501.4"	"31276.9"	"27222.0"	"19757.8"	"14195.7"	"12554.6"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
