"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Razor Peptides"	"Abundance Ratio: (127N) / (126)"	"Abundance Ratio: (127C) / (126)"	"Abundance Ratio: (128N) / (126)"	"Abundance Ratio: (128C) / (126)"	"Abundance Ratio: (129N) / (126)"	"Abundance Ratio: (129C) / (126)"	"Abundance Ratio: (130N) / (126)"	"Abundance Ratio: (130C) / (126)"	"Abundance Ratio: (131) / (126)"	"Abundances (Grouped): 126"	"Abundances (Grouped): 127N"	"Abundances (Grouped): 127C"	"Abundances (Grouped): 128N"	"Abundances (Grouped): 128C"	"Abundances (Grouped): 129N"	"Abundances (Grouped): 129C"	"Abundances (Grouped): 130N"	"Abundances (Grouped): 130C"	"Abundances (Grouped): 131"	"Abundances (Grouped) CV [%]: 126"	"Abundances (Grouped) CV [%]: 127N"	"Abundances (Grouped) CV [%]: 127C"	"Abundances (Grouped) CV [%]: 128N"	"Abundances (Grouped) CV [%]: 128C"	"Abundances (Grouped) CV [%]: 129N"	"Abundances (Grouped) CV [%]: 129C"	"Abundances (Grouped) CV [%]: 130N"	"Abundances (Grouped) CV [%]: 130C"	"Abundances (Grouped) CV [%]: 131"	"Found in Sample: [S1] F1: 126, Sample"	"Found in Sample: [S2] F1: 127N, Sample"	"Found in Sample: [S3] F1: 127C, Sample"	"Found in Sample: [S4] F1: 128N, Sample"	"Found in Sample: [S5] F1: 128C, Sample"	"Found in Sample: [S6] F1: 129N, Sample"	"Found in Sample: [S7] F1: 129C, Sample"	"Found in Sample: [S8] F1: 130N, Sample"	"Found in Sample: [S9] F1: 130C, Sample"	"Found in Sample: [S10] F1: 131, Sample"	"# Protein Groups"	"Modifications"
"8762874871911660175"	"False"	"High"	"IsMasterProtein"	"PF3D7_1149000.1-p1"	"transcript=PF3D7_1149000.1 | gene=PF3D7_1149000 | organism=Plasmodium_falciparum_3D7 | gene_product=antigen 332, DBL-like protein | transcript_product=antigen 332, DBL-like protein | location=Pf3D7_11_v3:1950210-1968726(+) | protein_length=6093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"708.721"	"28"	"131"	"175"	"131"	"6093"	"688.9"	"3.89"	"669.35"	"131"	"0"	"0.987"	"1.042"	"1.162"	"1.003"	"0.538"	"0.478"	"0.472"	"0.344"	"0.149"	"70949.4"	"69998.3"	"73902.6"	"82471.1"	"71129.7"	"38199.7"	"33938.7"	"33477.8"	"24412.3"	"10590.6"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4777132236614452456"	"False"	"High"	"IsMasterProtein"	"PF3D7_0207600.1-p1"	"transcript=PF3D7_0207600.1 | gene=PF3D7_0207600 | organism=Plasmodium_falciparum_3D7 | gene_product=serine repeat antigen 5 | transcript_product=serine repeat antigen 5 | location=Pf3D7_02_v3:303593-307027(-) | protein_length=997 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"684.910"	"54"	"48"	"406"	"46"	"997"	"111.7"	"5.41"	"1455.02"	"48"	"2"	"1.021"	"1.116"	"1.097"	"0.873"	"0.381"	"0.178"	"0.130"	"0.092"	"0.045"	"187930.0"	"191875.1"	"209817.0"	"206186.4"	"164003.5"	"71543.0"	"33387.2"	"24366.6"	"17220.4"	"8401.9"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3783908223942957305"	"False"	"High"	"IsMasterProtein"	"PF3D7_1311800.1-p1"	"transcript=PF3D7_1311800.1 | gene=PF3D7_1311800 | organism=Plasmodium_falciparum_3D7 | gene_product=M1-family alanyl aminopeptidase | transcript_product=M1-family alanyl aminopeptidase | location=Pf3D7_13_v3:501790-505047(+) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"444.461"	"52"	"53"	"215"	"53"	"1085"	"126.0"	"7.56"	"685.40"	"53"	"0"	"1.045"	"1.101"	"1.078"	"0.893"	"0.474"	"0.192"	"0.162"	"0.121"	"0.049"	"94234.9"	"98441.0"	"103763.2"	"101596.2"	"84140.5"	"44701.8"	"18113.3"	"15222.8"	"11428.6"	"4650.7"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4928612786058993434"	"False"	"High"	"IsMasterProtein"	"PF3D7_1015900.1-p1"	"transcript=PF3D7_1015900.1 | gene=PF3D7_1015900 | organism=Plasmodium_falciparum_3D7 | gene_product=enolase | transcript_product=enolase | location=Pf3D7_10_v3:637138-639011(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"433.680"	"69"	"27"	"317"	"24"	"446"	"48.6"	"6.60"	"1098.22"	"27"	"3"	"1.025"	"1.107"	"1.062"	"1.028"	"0.876"	"0.922"	"0.347"	"0.174"	"0.067"	"120317.9"	"123328.6"	"133163.5"	"127824.0"	"123702.8"	"105373.0"	"110931.8"	"41739.2"	"20962.2"	"8058.6"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"8125305078391365032"	"False"	"High"	"IsMasterProtein"	"PF3D7_1035200.1-p1"	"transcript=PF3D7_1035200.1 | gene=PF3D7_1035200 | organism=Plasmodium_falciparum_3D7 | gene_product=S-antigen | transcript_product=S-antigen | location=Pf3D7_10_v3:1394839-1396596(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"409.814"	"93"	"17"	"333"	"17"	"585"	"62.9"	"4.40"	"1173.43"	"17"	"0"	"1.046"	"1.109"	"1.100"	"1.057"	"0.921"	"1.122"	"1.202"	"1.106"	"0.942"	"61373.8"	"64218.8"	"68050.5"	"67521.4"	"64884.3"	"56543.0"	"68832.1"	"73795.7"	"67904.5"	"57832.0"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2772378688330047499"	"False"	"High"	"IsMasterProtein"	"PF3D7_1228600.1-p1"	"transcript=PF3D7_1228600.1 | gene=PF3D7_1228600 | organism=Plasmodium_falciparum_3D7 | gene_product=merozoite surface protein 9 | transcript_product=merozoite surface protein 9 | location=Pf3D7_12_v3:1160729-1162960(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"398.161"	"48"	"34"	"197"	"34"	"743"	"86.6"	"4.86"	"661.91"	"34"	"0"	"0.981"	"0.922"	"0.665"	"0.542"	"0.246"	"0.216"	"0.231"	"0.204"	"0.125"	"88387.5"	"86720.6"	"81463.3"	"58805.3"	"47917.7"	"21708.5"	"19088.5"	"20434.2"	"18011.5"	"11004.8"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"9099762193104312204"	"False"	"High"	"IsMasterProtein"	"PF3D7_1462800.1-p1"	"transcript=PF3D7_1462800.1 | gene=PF3D7_1462800 | organism=Plasmodium_falciparum_3D7 | gene_product=glyceraldehyde-3-phosphate dehydrogenase | transcript_product=glyceraldehyde-3-phosphate dehydrogenase | location=Pf3D7_14_v3:2559098-2560347(+) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"394.042"	"79"	"21"	"433"	"20"	"337"	"36.6"	"7.69"	"1420.52"	"21"	"2"	"1.038"	"1.125"	"1.072"	"1.025"	"0.894"	"0.658"	"0.231"	"0.173"	"0.063"	"149555.2"	"155209.9"	"168236.1"	"160295.8"	"153360.7"	"133716.9"	"98367.9"	"34580.1"	"25911.3"	"9432.7"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"900378609323089650"	"False"	"High"	"IsMasterProtein"	"PF3D7_0708400.1-p1"	"transcript=PF3D7_0708400.1 | gene=PF3D7_0708400 | organism=Plasmodium_falciparum_3D7 | gene_product=heat shock protein 90 | transcript_product=heat shock protein 90 | location=Pf3D7_07_v3:381592-384614(+) | protein_length=745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"389.278"	"52"	"37"	"193"	"32"	"745"	"86.1"	"5.01"	"590.24"	"37"	"7"	"0.935"	"0.367"	"0.132"	"0.073"	"0.050"	"0.055"	"0.053"	"0.042"	"0.018"	"190800.5"	"178442.1"	"70004.8"	"25220.0"	"13983.5"	"9471.8"	"10538.0"	"10174.7"	"7920.4"	"3446.2"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6468382682587716960"	"False"	"High"	"IsMasterProtein"	"PF3D7_1222300.1-p1"	"transcript=PF3D7_1222300.1 | gene=PF3D7_1222300 | organism=Plasmodium_falciparum_3D7 | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=Pf3D7_12_v3:883567-886032(-) | protein_length=821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"377.476"	"51"	"43"	"137"	"42"	"821"	"95.0"	"5.41"	"474.62"	"43"	"1"	"0.995"	"0.939"	"0.672"	"0.132"	"0.094"	"0.079"	"0.076"	"0.061"	"0.032"	"100529.5"	"100016.9"	"94394.5"	"67582.1"	"13234.4"	"9471.2"	"7906.4"	"7646.0"	"6115.4"	"3185.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6105877340826101205"	"False"	"High"	"IsMasterProtein"	"PF3D7_0626800.1-p1"	"transcript=PF3D7_0626800.1 | gene=PF3D7_0626800 | organism=Plasmodium_falciparum_3D7 | gene_product=pyruvate kinase | transcript_product=pyruvate kinase | location=Pf3D7_06_v3:1078995-1081320(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"359.987"	"60"	"24"	"220"	"24"	"511"	"55.6"	"7.55"	"658.64"	"24"	"0"	"1.053"	"1.087"	"1.041"	"0.964"	"0.834"	"0.797"	"0.358"	"0.183"	"0.064"	"76328.9"	"80347.1"	"83000.0"	"79493.2"	"73543.3"	"63680.5"	"60868.7"	"27331.2"	"13932.8"	"4876.1"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
