"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Razor Peptides"	"Abundance Ratio: (127N) / (126)"	"Abundance Ratio: (127C) / (126)"	"Abundance Ratio: (128N) / (126)"	"Abundance Ratio: (128C) / (126)"	"Abundance Ratio: (129N) / (126)"	"Abundance Ratio: (129C) / (126)"	"Abundance Ratio: (130N) / (126)"	"Abundance Ratio: (130C) / (126)"	"Abundance Ratio: (131) / (126)"	"Abundances (Grouped): 126"	"Abundances (Grouped): 127N"	"Abundances (Grouped): 127C"	"Abundances (Grouped): 128N"	"Abundances (Grouped): 128C"	"Abundances (Grouped): 129N"	"Abundances (Grouped): 129C"	"Abundances (Grouped): 130N"	"Abundances (Grouped): 130C"	"Abundances (Grouped): 131"	"Abundances (Grouped) CV [%]: 126"	"Abundances (Grouped) CV [%]: 127N"	"Abundances (Grouped) CV [%]: 127C"	"Abundances (Grouped) CV [%]: 128N"	"Abundances (Grouped) CV [%]: 128C"	"Abundances (Grouped) CV [%]: 129N"	"Abundances (Grouped) CV [%]: 129C"	"Abundances (Grouped) CV [%]: 130N"	"Abundances (Grouped) CV [%]: 130C"	"Abundances (Grouped) CV [%]: 131"	"Found in Sample: [S42] F24: 126, Sample"	"Found in Sample: [S43] F24: 127N, Sample"	"Found in Sample: [S44] F24: 127C, Sample"	"Found in Sample: [S45] F24: 128N, Sample"	"Found in Sample: [S46] F24: 128C, Sample"	"Found in Sample: [S47] F24: 129N, Sample"	"Found in Sample: [S48] F24: 129C, Sample"	"Found in Sample: [S49] F24: 130N, Sample"	"Found in Sample: [S50] F24: 130C, Sample"	"Found in Sample: [S51] F24: 131, Sample"	"# Protein Groups"	"Modifications"
"8762874871911660175"	"False"	"High"	"IsMasterProtein"	"PF3D7_1149000.1-p1"	"transcript=PF3D7_1149000.1 | gene=PF3D7_1149000 | organism=Plasmodium_falciparum_3D7 | gene_product=antigen 332, DBL-like protein | transcript_product=antigen 332, DBL-like protein | location=Pf3D7_11_v3:1950210-1968726(+) | protein_length=6093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"969.507"	"34"	"153"	"230"	"152"	"6093"	"688.9"	"3.89"	"986.08"	"153"	"2"	"0.984"	"0.937"	"1.053"	"0.820"	"0.538"	"0.309"	"0.319"	"0.328"	"0.280"	"93957.0"	"92435.5"	"88076.0"	"98948.2"	"77000.2"	"50585.3"	"29012.9"	"30013.1"	"30836.7"	"26325.1"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4777132236614452456"	"False"	"High"	"IsMasterProtein"	"PF3D7_0207600.1-p1"	"transcript=PF3D7_0207600.1 | gene=PF3D7_0207600 | organism=Plasmodium_falciparum_3D7 | gene_product=serine repeat antigen 5 | transcript_product=serine repeat antigen 5 | location=Pf3D7_02_v3:303593-307027(-) | protein_length=997 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"912.576"	"62"	"60"	"580"	"57"	"997"	"111.7"	"5.41"	"2238.92"	"60"	"3"	"0.979"	"0.942"	"1.128"	"0.906"	"0.532"	"0.229"	"0.160"	"0.110"	"0.058"	"230578.1"	"225678.1"	"217318.4"	"259996.7"	"208995.4"	"122776.7"	"52914.7"	"36855.3"	"25334.1"	"13454.6"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-2772378688330047499"	"False"	"High"	"IsMasterProtein"	"PF3D7_1228600.1-p1"	"transcript=PF3D7_1228600.1 | gene=PF3D7_1228600 | organism=Plasmodium_falciparum_3D7 | gene_product=merozoite surface protein 9 | transcript_product=merozoite surface protein 9 | location=Pf3D7_12_v3:1160729-1162960(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"766.488"	"63"	"45"	"450"	"45"	"743"	"86.6"	"4.86"	"1502.91"	"45"	"0"	"0.958"	"0.834"	"0.747"	"0.516"	"0.383"	"0.268"	"0.265"	"0.248"	"0.190"	"172407.9"	"165104.2"	"143739.3"	"128766.7"	"89016.8"	"66064.9"	"46149.5"	"45640.2"	"42822.3"	"32764.7"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"3783908223942957305"	"False"	"High"	"IsMasterProtein"	"PF3D7_1311800.1-p1"	"transcript=PF3D7_1311800.1 | gene=PF3D7_1311800 | organism=Plasmodium_falciparum_3D7 | gene_product=M1-family alanyl aminopeptidase | transcript_product=M1-family alanyl aminopeptidase | location=Pf3D7_13_v3:501790-505047(+) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"713.274"	"59"	"57"	"294"	"56"	"1085"	"126.0"	"7.56"	"1068.94"	"57"	"1"	"0.994"	"0.965"	"1.160"	"0.883"	"0.478"	"0.140"	"0.124"	"0.091"	"0.045"	"117840.3"	"117153.5"	"113679.3"	"136678.8"	"104017.2"	"56308.7"	"16520.8"	"14661.3"	"10700.6"	"5244.3"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-8154947381850791581"	"False"	"High"	"IsMasterProtein"	"PF3D7_1361800.1-p1"	"transcript=PF3D7_1361800.1 | gene=PF3D7_1361800 | organism=Plasmodium_falciparum_3D7 | gene_product=glideosome-associated connector | transcript_product=glideosome-associated connector | location=Pf3D7_13_v3:2473530-2481626(+) | protein_length=2605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"671.208"	"40"	"94"	"232"	"93"	"2605"	"290.8"	"5.25"	"827.80"	"94"	"1"	"1.002"	"0.879"	"0.932"	"0.258"	"0.143"	"0.100"	"0.102"	"0.080"	"0.037"	"128034.9"	"128276.2"	"112545.8"	"119302.5"	"33045.4"	"18346.0"	"12794.2"	"13097.7"	"10209.5"	"4710.3"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-7066238491796449517"	"False"	"High"	"IsMasterProtein"	"PF3D7_0929400.1-p1"	"transcript=PF3D7_0929400.1 | gene=PF3D7_0929400 | organism=Plasmodium_falciparum_3D7 | gene_product=high molecular weight rhoptry protein 2 | transcript_product=high molecular weight rhoptry protein 2 | location=Pf3D7_09_v3:1175203-1180762(+) | protein_length=1378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"619.631"	"53"	"65"	"229"	"65"	"1378"	"162.6"	"8.27"	"827.40"	"65"	"0"	"1.061"	"0.890"	"1.014"	"0.599"	"0.159"	"0.118"	"0.112"	"0.093"	"0.041"	"119206.4"	"126534.9"	"106073.7"	"120931.0"	"71454.2"	"18946.9"	"14037.3"	"13404.1"	"11087.1"	"4872.3"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-4928612786058993434"	"False"	"High"	"IsMasterProtein"	"PF3D7_1015900.1-p1"	"transcript=PF3D7_1015900.1 | gene=PF3D7_1015900 | organism=Plasmodium_falciparum_3D7 | gene_product=enolase | transcript_product=enolase | location=Pf3D7_10_v3:637138-639011(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"617.895"	"75"	"31"	"366"	"27"	"446"	"48.6"	"6.60"	"1419.46"	"31"	"4"	"0.958"	"0.938"	"1.112"	"0.946"	"0.899"	"0.740"	"0.331"	"0.156"	"0.065"	"127407.9"	"122114.8"	"119556.6"	"141672.1"	"120507.9"	"114525.1"	"94240.4"	"42223.4"	"19873.5"	"8306.5"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"9099762193104312204"	"False"	"High"	"IsMasterProtein"	"PF3D7_1462800.1-p1"	"transcript=PF3D7_1462800.1 | gene=PF3D7_1462800 | organism=Plasmodium_falciparum_3D7 | gene_product=glyceraldehyde-3-phosphate dehydrogenase | transcript_product=glyceraldehyde-3-phosphate dehydrogenase | location=Pf3D7_14_v3:2559098-2560347(+) | protein_length=337 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"500.554"	"86"	"23"	"362"	"22"	"337"	"36.6"	"7.69"	"1345.83"	"23"	"0"	"0.991"	"0.936"	"1.139"	"0.946"	"0.807"	"0.521"	"0.196"	"0.152"	"0.074"	"110325.8"	"109309.0"	"103262.6"	"125652.5"	"104397.0"	"89011.0"	"57484.4"	"21675.8"	"16720.9"	"8190.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"-6105877340826101205"	"False"	"High"	"IsMasterProtein"	"PF3D7_0626800.1-p1"	"transcript=PF3D7_0626800.1 | gene=PF3D7_0626800 | organism=Plasmodium_falciparum_3D7 | gene_product=pyruvate kinase | transcript_product=pyruvate kinase | location=Pf3D7_06_v3:1078995-1081320(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"492.074"	"67"	"29"	"287"	"28"	"511"	"55.6"	"7.55"	"966.54"	"29"	"1"	"0.986"	"0.956"	"1.122"	"0.927"	"0.838"	"0.646"	"0.296"	"0.169"	"0.068"	"89932.0"	"88675.5"	"85995.2"	"100903.6"	"83351.4"	"75402.6"	"58076.3"	"26651.6"	"15185.1"	"6118.4"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"7848922474312241240"	"False"	"High"	"IsMasterProtein"	"PF3D7_0915400.1-p1"	"transcript=PF3D7_0915400.1 | gene=PF3D7_0915400 | organism=Plasmodium_falciparum_3D7 | gene_product=ATP-dependent 6-phosphofructokinase | transcript_product=ATP-dependent 6-phosphofructokinase | location=Pf3D7_09_v3:650585-654841(-) | protein_length=1418 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false"	"0.000"	"474.841"	"47"	"56"	"161"	"56"	"1418"	"159.4"	"6.76"	"572.89"	"56"	"0"	"0.990"	"0.892"	"1.056"	"0.724"	"0.231"	"0.152"	"0.138"	"0.118"	"0.065"	"67394.8"	"66745.0"	"60131.8"	"71147.8"	"48813.9"	"15594.8"	"10210.5"	"9310.7"	"7936.1"	"4396.0"	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
